name,path,entry_type,dataset_hint,protocol_hint,status_hint,registry_top_root_referenced,mtime_utc,raw_evidence_policy
archive,/private/results/archive,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-12T08:36:15.763888+00:00,KEEP_IN_PLACE
c2md,/private/results/c2md,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-14T08:53:07.629770+00:00,KEEP_IN_PLACE
cmd_hybrid_hf_hs_p2_20260717_v1,/private/results/cmd_hybrid_hf_hs_p2_20260717_v1,directory,ogsod,ogsod_direct50_hf_hs,unclassified_keep,no,2026-07-16T19:52:50.215284+00:00,KEEP_IN_PLACE
cmd_hybrid_hf_hs_p2_confirmation_s0_s123_20260717_retry2,/private/results/cmd_hybrid_hf_hs_p2_confirmation_s0_s123_20260717_retry2,directory,ogsod,ogsod_direct50_hf_hs,unclassified_keep,no,2026-07-16T22:21:30.807466+00:00,KEEP_IN_PLACE
cmd_hybrid_hf_hs_p2_confirmation_s0_s123_20260717_v1,/private/results/cmd_hybrid_hf_hs_p2_confirmation_s0_s123_20260717_v1,directory,ogsod,ogsod_direct50_hf_hs,unclassified_keep,no,2026-07-16T20:44:11.801924+00:00,KEEP_IN_PLACE
cmd_hybrid_hf_hs_p2_full_20260717_v1,/private/results/cmd_hybrid_hf_hs_p2_full_20260717_v1,directory,ogsod,ogsod_direct50_hf_hs,unclassified_keep,no,2026-07-16T20:30:45.120403+00:00,KEEP_IN_PLACE
cmd_hybrid_ho_hs_p3_strict_s42_20260717_v1,/private/results/cmd_hybrid_ho_hs_p3_strict_s42_20260717_v1,directory,ogsod,unknown,unclassified_keep,no,2026-07-17T02:43:27.103512+00:00,KEEP_IN_PLACE
cmd_hybrid_ho_hs_p3_strict_s42_20260717_v2,/private/results/cmd_hybrid_ho_hs_p3_strict_s42_20260717_v2,directory,ogsod,unknown,unclassified_keep,no,2026-07-17T02:50:45.707389+00:00,KEEP_IN_PLACE
cmd_hybrid_ho_hs_p3_strict_s42_20260717_v3,/private/results/cmd_hybrid_ho_hs_p3_strict_s42_20260717_v3,directory,ogsod,unknown,unclassified_keep,no,2026-07-17T03:08:02.226742+00:00,KEEP_IN_PLACE
cmd_hybrid_ho_hs_p3_strict_s42_20260717_v3.scheduler.log,/private/results/cmd_hybrid_ho_hs_p3_strict_s42_20260717_v3.scheduler.log,file,ogsod,unknown,unclassified_keep,no,2026-07-17T03:08:01.989922+00:00,KEEP_IN_PLACE
cmd_hybrid_ho_hs_p3_strict_s42_20260717_v4,/private/results/cmd_hybrid_ho_hs_p3_strict_s42_20260717_v4,directory,ogsod,unknown,unclassified_keep,no,2026-07-17T04:41:05.069120+00:00,KEEP_IN_PLACE
cmd_hybrid_ho_hs_p3_strict_s42_20260717_v4.scheduler.log,/private/results/cmd_hybrid_ho_hs_p3_strict_s42_20260717_v4.scheduler.log,file,ogsod,unknown,unclassified_keep,no,2026-07-17T04:41:05.086667+00:00,KEEP_IN_PLACE
