id,rgb_luminance,ir_luminance,rgb_gray_sd,gradient_corr,edge_distance_median_norm_diag,edge_distance_p90_norm_diag,phase_dx_norm,phase_dy_norm,phase_response,phase_shift_norm,rgb_shape,ir_shape,rgb_gt_n,ir_gt_n,matched_gt_n,identical_label_bytes
010010,29.12224006652832,29.663490295410156,16.74077796936035,0.25157296987269634,0.003125,0.03597145135381668,-0.0009587559167004045,0.004384158633488599,0.16389574609696866,0.0044877678005218425,"[1024, 1280]","[1024, 1280]",7,7,7,True
010011,33.54759979248047,44.7036018371582,21.250404357910156,0.1515604175529032,0.004419417382415922,0.03069825422560703,-0.001423999650422747,0.004940654827163016,0.10164822801947594,0.0051417745113504654,"[1024, 1280]","[1024, 1280]",4,4,4,True
010015,31.81648826599121,40.24686813354492,16.137802124023438,0.31496438657660425,0.003125,0.026516504294495532,0.000529539275447366,0.001475879282940351,0.21591608345508576,0.0015680023922347332,"[1024, 1280]","[1024, 1280]",1,1,1,True
010021,26.393573760986328,50.9929313659668,12.893250465393066,0.2532340191666644,0.004419417382415922,0.03343896024848859,0.0010186081707044714,0.00413274538288313,0.2030530348420143,0.0042564242040905335,"[1024, 1280]","[1024, 1280]",3,3,3,True
010047,36.98990249633789,30.352392196655273,24.541257858276367,0.28762477738110537,0.002209708691207961,0.0310382654955494,-0.0011946857026293501,0.004786341489213708,0.2987547232210636,0.004933187486750881,"[1024, 1280]","[1024, 1280]",4,4,4,True
010054,38.48004913330078,42.65800857543945,24.036598205566406,0.27988159358544856,0.003125,0.028726212985703492,0.0003395863846676228,0.00452706188971268,0.19139008820056916,0.004539780640729304,"[1024, 1280]","[1024, 1280]",2,2,2,True
010062,26.68997573852539,32.51932907104492,11.785418510437012,0.2607947462811043,0.003125,0.03343896024848859,0.004891339481686696,-0.05832514768155095,0.03414843007922173,0.05852989026130012,"[1024, 1280]","[1024, 1280]",5,5,5,True
010071,31.751283645629883,40.23097610473633,17.250579833984375,0.17162360005782085,0.004419417382415922,0.027332587007087343,-0.2207469217608625,0.20601071193072587,0.03441724136471749,0.30194306896681844,"[1024, 1280]","[1024, 1280]",3,3,3,True
010076,43.28327560424805,44.87185287475586,29.475135803222656,0.2907399492766125,0.002209708691207961,0.019887378220871648,-0.002205874241017458,0.0013114841722287273,0.18176832479424776,0.0025662953651500865,"[1024, 1280]","[1024, 1280]",6,6,6,True
010088,31.787525177001953,21.898435592651367,22.569948196411133,0.25705444711228037,0.003125,0.026516504294495532,-0.0013832948005600976,0.0031628086146392675,0.2342442771047354,0.003452080943154862,"[1024, 1280]","[1024, 1280]",10,10,10,True
