dataset,family,phase,unit,identity,objects
llvip,C0_C1,base,group,08,1023
llvip,C0_C1,base,group,09,671
llvip,C0_C1,base,group,06,490
llvip,C0_C1,base,group,10,459
llvip,C0_C1,base,group,13,314
llvip,C0_C1,base,group,14,293
llvip,C0_C1,base,group,05,275
llvip,C0_C1,base,group,03,249
llvip,C0_C1,base,group,15,247
llvip,C0_C1,base,group,17,239
llvip,C0_C1,base,group,16,231
llvip,C0_C1,base,group,11,219
llvip,C0_C1,base,group,02,213
llvip,C0_C1,base,group,18,205
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081302.jpg,12
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080547.jpg,11
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/091048.jpg,11
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090462.jpg,10
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050034.jpg,9
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060024.jpg,9
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060335.jpg,9
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060403.jpg,9
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080433.jpg,9
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080987.jpg,9
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090399.jpg,9
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080245.jpg,8
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080689.jpg,8
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080877.jpg,8
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080909.jpg,8
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081281.jpg,8
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081519.jpg,8
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/091109.jpg,8
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/091188.jpg,8
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/140406.jpg,8
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/150371.jpg,8
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/030464.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050131.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050154.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050164.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050326.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050363.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060002.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060026.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060146.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060234.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060269.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060410.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060433.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060498.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080586.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080671.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080686.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080833.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080961.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081056.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081193.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081373.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090064.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090066.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090148.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090588.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090685.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090909.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/140308.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/180071.jpg,7
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/030106.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/030197.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050013.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050043.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050087.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050112.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050119.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050177.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050253.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050280.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050281.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050311.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050420.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060003.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060055.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060071.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060118.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060119.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060182.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060193.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060250.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060313.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060339.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060391.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060469.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080054.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080447.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080455.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080643.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080919.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080975.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081192.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081202.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081253.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081352.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090146.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090172.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090377.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090443.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090503.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090511.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090566.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090903.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090927.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/100783.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/100862.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/101017.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/110301.jpg,6
