id,rgb_gt,ir_gt,class_id,label_iou,center_shift_over_rgb_sqrt_area,rgb_gt_candidate_degree_at_01,ir_gt_candidate_degree_at_01,unique_gt_pair_at_01,label_assignment_margin,rgb_hit,ir_hit,rgb_prediction_index,ir_prediction_index,rgb_confidence,ir_confidence,rgb_candidate_iou,ir_own_iou,ir_direct_rgb_iou,any_same_class_rough_conf05,any_any_class_rough_conf05,any_same_class_iou50_conf05,rgb_luminance
010010,0,0,0,1.0,0.0,1,1,True,1.0,True,True,0,0,0.8320896029472351,0.8762597441673279,0.8609476864499197,0.9326226203322691,0.9326226203322691,True,True,True,29.12224006652832
010010,1,1,0,1.0,0.0,1,1,True,1.0,True,True,1,5,0.8302994966506958,0.7955817580223083,0.689995529067365,0.897581535463685,0.897581535463685,True,True,True,29.12224006652832
010010,2,2,0,1.0,0.0,1,1,True,1.0,True,True,3,1,0.8079352378845215,0.8499550819396973,0.8032673674336889,0.8088149362179664,0.8088149362179664,True,True,True,29.12224006652832
010010,3,3,0,1.0,0.0,2,2,False,0.8850623546192025,True,True,5,3,0.7844606637954712,0.8349172472953796,0.6493578722285639,0.7649471340103557,0.7649471340103557,True,True,True,29.12224006652832
010010,4,4,0,1.0,0.0,2,2,False,0.8850623546192025,True,True,2,2,0.8212239742279053,0.8490411639213562,0.7825920696269604,0.9094621024857765,0.9094621024857765,True,True,True,29.12224006652832
010010,5,5,0,1.0,0.0,1,1,True,1.0,False,True,,6,,0.6751384735107422,,0.7931923994664634,0.7931923994664634,False,False,False,29.12224006652832
010010,6,6,0,1.0,0.0,1,1,True,1.0,True,True,4,4,0.8067155480384827,0.8192195296287537,0.854120822683048,0.9084580297506607,0.9084580297506607,True,True,True,29.12224006652832
010011,0,0,0,1.0,0.0,2,2,False,0.8775509862074876,True,True,1,2,0.8485316634178162,0.795240044593811,0.6628002536093737,0.622529000203841,0.622529000203841,True,True,True,33.54759979248047
010011,1,1,0,1.0,0.0,2,2,False,0.8775509862074876,False,False,,,,,,,,True,True,False,33.54759979248047
010011,2,2,0,1.0,0.0,1,1,True,1.0,True,True,0,1,0.8488258719444275,0.8288795948028564,0.8827668076402145,0.9236417325628683,0.9236417325628683,True,True,True,33.54759979248047
010011,3,3,0,1.0,0.0,1,1,True,1.0,True,True,2,0,0.7393313050270081,0.8879973292350769,0.5225886424254609,0.7968394515509816,0.7968394515509816,True,True,True,33.54759979248047
