id,rgb_gt,ir_gt,class_id,iou,center_shift_norm,center_shift_over_rgb_sqrt_area,dx_norm,dy_norm,rgb_hit,ir_hit,rgb_pred_iou,ir_pred_iou,rgb_wrong_class_overlap,ir_wrong_class_overlap,ir_minus_rgb_loc_iou,rgb_luminance
00000010,0,0,5,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,142.32786560058594
00000010,1,1,5,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,142.32786560058594
00000010,2,2,5,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.6637544125959395,False,False,0.6637544125959395,142.32786560058594
00000010,3,3,3,1.0,0.0,0.0,0.0,0.0,True,False,0.8879214324666835,0.0,False,True,-0.8879214324666835,142.32786560058594
00000010,4,4,2,1.0,0.0,0.0,0.0,0.0,True,True,0.8271298185287926,0.8943553833683991,False,False,0.06722556483960651,142.32786560058594
00000010,5,5,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,142.32786560058594
00000010,6,6,5,1.0,0.0,0.0,0.0,0.0,True,False,0.8281139587234534,0.4867247239254826,False,False,-0.3413892347979708,142.32786560058594
00000010,7,7,5,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.6128913006628248,False,False,0.6128913006628248,142.32786560058594
00000010,8,8,5,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,142.32786560058594
00000012,0,0,1,1.0,0.0,0.0,0.0,0.0,True,True,0.8010247212203753,0.7860618216500255,False,False,-0.014962899570349797,128.19776916503906
00000025,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8253334924776599,0.8284470663156898,False,False,0.003113573838029904,135.30972290039062
00000025,1,1,7,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.7419930199301082,True,False,0.7419930199301082,135.30972290039062
00000025,2,2,3,1.0,0.0,0.0,0.0,0.0,True,True,0.7252713108987732,0.7761041496094484,False,False,0.05083283871067523,135.30972290039062
00000025,3,3,3,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,True,False,0.0,135.30972290039062
00000025,4,4,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.6965031844683239,True,False,0.6965031844683239,135.30972290039062
00000025,5,5,3,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,True,False,0.0,135.30972290039062
00000025,6,6,7,1.0,0.0,0.0,0.0,0.0,True,True,0.755153369092929,0.7758040622551179,False,False,0.020650693162188927,135.30972290039062
00000025,7,7,2,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,135.30972290039062
00000025,8,8,2,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,135.30972290039062
00000027,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7834433342880261,0.7840288880588071,False,False,0.0005855537707809555,103.59244537353516
00000027,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7931194804894892,0.7105091029181368,False,False,-0.08261037757135237,103.59244537353516
00000027,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5954730419984358,0.732862133195518,True,False,0.1373890911970822,103.59244537353516
00000027,3,3,6,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,True,False,0.0,103.59244537353516
00000027,4,4,1,1.0,0.0,0.0,0.0,0.0,True,True,0.8711239799573294,0.833282665172546,False,False,-0.037841314784783364,103.59244537353516
00000027,5,5,1,1.0,0.0,0.0,0.0,0.0,True,True,0.7636196997464044,0.8823416189185487,False,False,0.11872191917214425,103.59244537353516
00000027,6,6,1,1.0,0.0,0.0,0.0,0.0,True,True,0.9427556570153084,0.8923824133955712,False,False,-0.05037324361973716,103.59244537353516
00000027,7,7,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7616176800209171,0.7359578730938295,False,False,-0.02565980692708758,103.59244537353516
00000027,8,8,6,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,103.59244537353516
00000027,9,9,1,1.0,0.0,0.0,0.0,0.0,True,False,0.7442917140926131,0.0,False,False,-0.7442917140926131,103.59244537353516
00000027,10,10,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8222095867637331,0.7598743873612925,False,False,-0.06233519940244059,103.59244537353516
00000027,11,11,1,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,True,True,0.0,103.59244537353516
00000027,12,12,7,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,True,True,0.0,103.59244537353516
00000027,13,13,2,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,103.59244537353516
00000027,14,14,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8268886916932097,0.8314920274086653,False,False,0.004603335715455681,103.59244537353516
00000027,15,15,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7704652449972714,0.86692965468431,False,False,0.09646440968703862,103.59244537353516
00000055,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.828790881766899,0.8265434350460024,False,False,-0.0022474467208966065,110.06810760498047
