id,rgb_luminance,ir_luminance,rgb_gray_sd,gradient_corr,edge_distance_median_norm_diag,edge_distance_p90_norm_diag,phase_dx_norm,phase_dy_norm,phase_response,phase_shift_norm,rgb_shape,ir_shape,rgb_gt_n,ir_gt_n,matched_gt_n,identical_label_bytes
00000010,142.32786560058594,177.88356018066406,33.49483108520508,0.9284749172129949,0.0,0.002209708691207961,8.258044324094271e-05,0.00019015778785647086,0.8086585442349314,0.0002073150112469841,"[512, 512]","[512, 512]",9,9,9,True
00000012,128.19776916503906,174.72662353515625,18.938146591186523,0.9370482511015951,0.0,0.003125,0.0003316298012632224,-0.00013630979837548908,0.7525060638785362,0.00035855081399858914,"[512, 512]","[512, 512]",1,1,1,True
00000025,135.30972290039062,161.4981231689453,58.07225036621094,0.9355400086104609,0.0,0.002209708691207961,0.0001611314707147038,0.0003005921446404436,0.6899253743886947,0.00034105569673328255,"[512, 512]","[512, 512]",9,9,9,True
00000027,103.59244537353516,152.8892364501953,45.02446746826172,0.6811683516968473,0.0,0.014149039278339713,-9.883391559819543e-05,0.00017668204913405815,0.5097434654086829,0.000202446756849007,"[512, 512]","[512, 512]",16,16,16,True
00000055,110.06810760498047,158.55419921875,38.27705001831055,0.7335478345160316,0.0,0.007967217989988725,0.00010317172294751486,-0.00018732884460748167,0.6046749013662338,0.00021386093714826179,"[512, 512]","[512, 512]",4,4,4,True
00000086,139.06932067871094,179.0361785888672,35.350608825683594,0.7130915779764316,0.0,0.009110862335695781,-0.0001776058799870306,0.0008215759151786628,0.4887232144922018,0.0008405538846544134,"[512, 512]","[512, 512]",3,3,3,True
00000087,145.80966186523438,188.36605834960938,37.382450103759766,0.7413956155380627,0.0,0.006629126073623883,-0.00018126586071574025,0.00024789954189916583,0.5919334250688553,0.00030710176674000824,"[512, 512]","[512, 512]",4,4,4,True
00000088,128.30026245117188,169.97463989257812,38.89864730834961,0.7325803168093584,0.0,0.006987712429686843,-4.0160600707039865e-05,0.0002861248389571358,0.6099009519815445,0.00028892957155230266,"[512, 512]","[512, 512]",8,8,8,True
00000089,150.1239471435547,190.18209838867188,33.99412155151367,0.737486750042684,0.0,0.006629126073623883,-0.00035891603542328456,0.00044911517448449346,0.3607900239527225,0.0005749131764329336,"[512, 512]","[512, 512]",5,5,5,True
00000093,148.7320098876953,84.43634033203125,3.2949602603912354,0.9740669341597669,0.006987712429686843,0.020009763241977653,0.0001534362177809001,0.00047168986630587997,0.454434565231204,0.0004960181477552679,"[512, 512]","[512, 512]",0,0,0,True
00000095,150.92398071289062,99.5216293334961,12.860010147094727,0.8781913676588811,0.0,0.0,-0.0013290760548619219,0.0011513532492649857,0.6885602116584778,0.0017584247109843434,"[512, 512]","[512, 512]",2,2,2,True
00000108,117.16202545166016,162.96890258789062,34.2413215637207,0.6319450022384272,0.0,0.013441133229754104,-0.00015838091457576198,-0.0001106467816862633,0.35561154782772064,0.00019320254760065258,"[512, 512]","[512, 512]",5,5,5,True
00000110,107.1762924194336,169.178466796875,26.095544815063477,0.6915156694617145,0.0,0.011899645477912356,-0.0003469807523506674,-0.0002584742357578662,0.6063634294643998,0.00043267143775900925,"[512, 512]","[512, 512]",2,2,2,True
00000143,134.49212646484375,223.5263214111328,27.335750579833984,0.738853689927528,0.0,0.009110862335695781,0.0009725508308877195,1.677549283618518e-05,0.5817042841017246,0.0009726955000514244,"[512, 512]","[512, 512]",9,9,9,True
00000156,132.33819580078125,171.06471252441406,19.925281524658203,0.6971667972823062,0.0,0.006987712429686843,-0.0005394819098162529,7.188882131883289e-05,0.4098174247145653,0.0005442506165817386,"[512, 512]","[512, 512]",4,4,4,True
00000158,135.8538360595703,186.69625854492188,22.83384895324707,0.7860610110670548,0.0,0.00625,-0.0003442351655083442,-4.071343572498165e-07,0.5254637385159731,0.00034423540627155424,"[512, 512]","[512, 512]",3,3,3,True
00000164,128.39453125,187.03411865234375,21.357948303222656,0.670237256720099,0.0,0.008838834764831844,6.991211117641782e-05,-0.0006856301767758311,0.4505956434831023,0.0006891853470546229,"[512, 512]","[512, 512]",3,3,3,True
00000165,96.70135498046875,190.69735717773438,22.208362579345703,0.7756363380729405,0.0,0.051015086616607835,6.677512344026582e-05,0.00038110582763160037,0.38164135757833717,0.0003869115777089513,"[512, 512]","[512, 512]",0,0,0,True
