dataset,split,arm,input_dim,n_objects,four_edge_mse,left_mse,top_mse,right_mse,bottom_mse,mean_iou_rgb_gt,invalid_negative_distance_n
dronevehicle,train,native_N_dfl_expectation,0,15019,0.07026540069519141,0.07151601283783939,0.06697407887851443,0.07611033878611255,0.0664611722782993,0.8859936450092111,0
dronevehicle,val,native_N_dfl_expectation,0,2821,0.13498202629774914,0.12424623209887127,0.12737847880835287,0.17079176704157356,0.11751162724219895,0.848450688703397,0
dronevehicle,train,ridge_N_dfl,64,15019,0.2399156361296747,0.24374010921329997,0.24484154371388342,0.2342309341270648,0.2368499574644505,0.7596483703925508,0
dronevehicle,val,ridge_N_dfl,64,2821,0.2951946535259846,0.28066498488525615,0.298518381374611,0.3187491479403309,0.28284609990374043,0.742625951235498,0
dronevehicle,train,ridge_N_dfl_T_dfl,128,15019,0.1756362897540697,0.17167238240611452,0.1754054285952447,0.17366486490845479,0.18180248310646477,0.7881467953035379,0
dronevehicle,val,ridge_N_dfl_T_dfl,128,2821,0.2226130411358585,0.1996071673868414,0.21861265972526028,0.2512184276485107,0.22101390978282157,0.7715767907574121,0
dronevehicle,train,ridge_N_dfl_N_feature,320,15019,0.18723704003816344,0.19704116798096996,0.18836457676725657,0.18290322062693073,0.18063919477749635,0.7798320133343363,4
dronevehicle,val,ridge_N_dfl_N_feature,320,2821,0.25207669860588655,0.24210011716915164,0.25288358813413836,0.2907216839321026,0.22260140518815355,0.7573843976213596,0
dronevehicle,train,ridge_N_dfl_N_feature_T_feature,576,15019,0.17296644464831354,0.1826545789884626,0.17366785257931963,0.1670776950405789,0.16846565198489302,0.7859971770844361,5
dronevehicle,val,ridge_N_dfl_N_feature_T_feature,576,2821,0.2323393767769311,0.22063386785097322,0.23132407732288293,0.27115940966046076,0.2062401522734075,0.7634150352916358,1
dronevehicle,train,ridge_N_dfl_N_feature_shuffled_T_feature,576,15019,0.18628140792838388,0.1958676934322277,0.18744943144804932,0.18201225243067348,0.17979625440258498,0.7801583221968935,5
dronevehicle,val,ridge_N_dfl_N_feature_shuffled_T_feature,576,2821,0.2527593491306213,0.24276556579898703,0.25369280162036406,0.291448304899062,0.22313072420407215,0.7569724623878576,0
dronevehicle,train,ridge_meta_only,3,15019,2.366210345696305,2.5039399546717576,2.360195679060617,2.2389351860304374,2.3617705630224086,0.4315792724987263,0
dronevehicle,val,ridge_meta_only,3,2821,2.294986427528717,2.27134937489385,2.414864984593999,2.133583371395296,2.3601479792317215,0.43451785919256897,0
dronevehicle,train,ridge_N_dfl_N0_dfl,128,15019,0.18184598083579914,0.18345132418655447,0.18360300330787402,0.1795154738814091,0.18081412196735908,0.7855959542085742,1
dronevehicle,val,ridge_N_dfl_N0_dfl,128,2821,0.24382016022317754,0.23359637345286188,0.23759614058437617,0.27360010017171016,0.23048802668376206,0.764176626211253,0
dronevehicle,train,ridge_N_dfl_N_feature_N0_feature,576,15019,0.1772565148935171,0.18627640053228317,0.17675051338147132,0.173665683462412,0.17233346219790202,0.7844846327611391,11
dronevehicle,val,ridge_N_dfl_N_feature_N0_feature,576,2821,0.24515679406510787,0.23543860137015785,0.24393807225897607,0.2851527771480271,0.21609772548327033,0.7602107511219865,2
llvip,train,native_N_dfl_expectation,0,2728,0.08223775609114758,0.04865297259689429,0.1029948405442893,0.04680492149011392,0.13049828973329283,0.8838174084675978,0
llvip,val,native_N_dfl_expectation,0,548,0.4580199078744119,0.2357667481100493,0.39330663561398466,0.28259208205369685,0.9204141657199165,0.726482825499424,0
llvip,train,ridge_N_dfl,64,2728,0.18061440563337636,0.08424434121917834,0.23588575398470732,0.07983430335739375,0.322493223972226,0.8017620784949556,0
llvip,val,ridge_N_dfl,64,548,0.44434633102680327,0.25734856290432717,0.4405991671076052,0.28525749343486057,0.7941801006604201,0.6965625676603274,0
llvip,train,ridge_N_dfl_T_dfl,128,2728,0.1256966871108291,0.05902074692099781,0.15363813357386624,0.056243971968724674,0.23388389597972772,0.8342723582563363,0
llvip,val,ridge_N_dfl_T_dfl,128,548,0.3243676446896861,0.18534467777772753,0.27270043484732276,0.198842463502,0.640583002631694,0.7324493951744875,0
llvip,train,ridge_N_dfl_N_feature,320,2728,0.14410522458885308,0.07155653898834538,0.19063101548203326,0.07080372161009965,0.24342962227493403,0.8184551585351257,1
llvip,val,ridge_N_dfl_N_feature,320,548,0.4637047465317907,0.2520039499252028,0.4485166179468719,0.28086270850110445,0.8734357097539838,0.6945360555327853,0
llvip,train,ridge_N_dfl_N_feature_T_feature,576,2728,0.12236186266295095,0.059458078503909974,0.15790573803758973,0.06186773271728111,0.21021590139302296,0.8303088278948406,1
llvip,val,ridge_N_dfl_N_feature_T_feature,576,548,0.3882409163197566,0.20469909138425235,0.36359802045031137,0.23394405912442323,0.7507224943200397,0.7128173911226594,0
llvip,train,ridge_N_dfl_N_feature_shuffled_T_feature,576,2728,0.14006472178632914,0.06924343906707839,0.18568533794833111,0.06894040141363528,0.23638970871627182,0.8199222364942739,1
llvip,val,ridge_N_dfl_N_feature_shuffled_T_feature,576,548,0.46596442415173545,0.2529389255177908,0.4494310152820565,0.2830324211646827,0.8784553346424119,0.693303119120468,0
llvip,train,ridge_meta_only,3,2728,1.7341349308344014,0.6435721447212625,2.738792838802126,0.6138596267553288,2.9403151130588867,0.48360957291051804,0
llvip,val,ridge_meta_only,3,548,1.8181740728682299,0.6776916953868514,2.7673707662007545,0.7181119557376231,3.1095218741476898,0.46338435154770263,0
